"filename", "language", "XML", "JSON", "JavaScript", "Markdown", "TypeScript", "JSON with Comments", "PowerShell", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\backend\routes\newsletterRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\E-Commerce Website (Full)\backend\routes\orderRoutes.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 17, 21, 128
"c:\E-Commerce Website (Full)\backend\routes\paymentRoutes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 7, 25
"c:\E-Commerce Website (Full)\backend\routes\phase1Routes.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 33, 23, 124
"c:\E-Commerce Website (Full)\backend\routes\phase2Routes.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 28, 14, 104
"c:\E-Commerce Website (Full)\backend\routes\phase3Routes.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 46, 20, 150
"c:\E-Commerce Website (Full)\backend\routes\productRoutes.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\E-Commerce Website (Full)\backend\routes\recommendationRoutes.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\E-Commerce Website (Full)\backend\routes\reviewRoutes.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\E-Commerce Website (Full)\backend\routes\searchRoutes.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
"c:\E-Commerce Website (Full)\backend\routes\userRoutes.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\E-Commerce Website (Full)\backend\routes\webhookRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\E-Commerce Website (Full)\backend\routes\wishlistRoutes.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\E-Commerce Website (Full)\backend\scripts\check-env-leaks.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\E-Commerce Website (Full)\backend\scripts\cleanup-port.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 5, 42
"c:\E-Commerce Website (Full)\backend\scripts\createAdmin.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 4, 12, 72
"c:\E-Commerce Website (Full)\backend\scripts\migrateProducts.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 11, 78
"c:\E-Commerce Website (Full)\backend\scripts\precheck.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\E-Commerce Website (Full)\backend\scripts\seedProducts.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 8, 13, 169
"c:\E-Commerce Website (Full)\backend\scripts\set-admin.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 12, 69
"c:\E-Commerce Website (Full)\backend\scripts\test-approval-system.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 25, 27, 182
"c:\E-Commerce Website (Full)\backend\scripts\test-whatsapp.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\E-Commerce Website (Full)\backend\scripts\verify-system.js", "JavaScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 9, 23, 141
"c:\E-Commerce Website (Full)\backend\server.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 17, 16, 159
"c:\E-Commerce Website (Full)\backend\services\cartService.js", "JavaScript", 0, 0, 320, 0, 0, 0, 0, 0, 0, 0, 5, 39, 364
"c:\E-Commerce Website (Full)\backend\services\dbService.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 12, 72
"c:\E-Commerce Website (Full)\backend\services\emailService.js", "JavaScript", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 1, 23, 222
"c:\E-Commerce Website (Full)\backend\services\logger.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\E-Commerce Website (Full)\backend\services\mailblusterService.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 12, 81
"c:\E-Commerce Website (Full)\backend\services\memoryDbService.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\E-Commerce Website (Full)\backend\services\paymentService.js", "JavaScript", 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 54, 57, 440
"c:\E-Commerce Website (Full)\backend\services\queueService.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 3, 18, 147
"c:\E-Commerce Website (Full)\backend\services\recommendationService.js", "JavaScript", 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 12, 36, 278
"c:\E-Commerce Website (Full)\backend\services\searchService.js", "JavaScript", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 20, 47, 322
"c:\E-Commerce Website (Full)\backend\services\stateService.js", "JavaScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 8, 29, 184
"c:\E-Commerce Website (Full)\backend\services\whatsappService.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\E-Commerce Website (Full)\backend\test-boundaries.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 8, 19, 120
"c:\E-Commerce Website (Full)\backend\test_subscription.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\E-Commerce Website (Full)\backend\tests\QA-SECURITY-CHECKLIST.md", "Markdown", 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 117, 432
"c:\E-Commerce Website (Full)\backend\tests\integration\bootstrap.test.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 10, 73
"c:\E-Commerce Website (Full)\backend\tests\integration\payment-security.test.js", "JavaScript", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 26, 51, 296
"c:\E-Commerce Website (Full)\backend\tests\security\jwt.test.js", "JavaScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 3, 24, 115
"c:\E-Commerce Website (Full)\backend\tests\test_approval_flow.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 8, 20, 132
"c:\E-Commerce Website (Full)\backend\tests\unit\config.test.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\E-Commerce Website (Full)\backend\utils\LocalDB.js", "JavaScript", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 19, 36, 247
"c:\E-Commerce Website (Full)\backend\utils\inventoryService.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 3, 23, 159
"c:\E-Commerce Website (Full)\backend\utils\orderHashService.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 3, 8, 51
"c:\E-Commerce Website (Full)\backend\utils\phoneFormatter.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 10, 17, 83
"c:\E-Commerce Website (Full)\backend\utils\tokenService.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 11, 87
"c:\E-Commerce Website (Full)\backend\utils\whatsappService.js", "JavaScript", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 28, 170
"c:\E-Commerce Website (Full)\backend\validators\orderValidators.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\E-Commerce Website (Full)\backend\validators\productValidators.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\E-Commerce Website (Full)\backend\validators\userValidator.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\E-Commerce Website (Full)\backend\validators\userValidators.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\E-Commerce Website (Full)\backend\verify-mongodb.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 3, 23, 122
"c:\E-Commerce Website (Full)\backend\verify-order-fix.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 9, 52
"c:\E-Commerce Website (Full)\backend\verify-serverless.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 19, 98
"c:\E-Commerce Website (Full)\backend\workers\notificationWorker.js", "JavaScript", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 16, 37, 210
"c:\E-Commerce Website (Full)\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 17, 121
"c:\E-Commerce Website (Full)\frontend\package-lock.json", "JSON", 0, 4068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4069
"c:\E-Commerce Website (Full)\frontend\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\E-Commerce Website (Full)\frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\E-Commerce Website (Full)\frontend\public\manifest.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\E-Commerce Website (Full)\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 4, 5, 90
"c:\E-Commerce Website (Full)\frontend\src\api\client.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 19, 16, 124
"c:\E-Commerce Website (Full)\frontend\src\components\AdPlacement.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 266, 0, 0, 48, 314
"c:\E-Commerce Website (Full)\frontend\src\components\AdPlacementZone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 5, 10, 138
"c:\E-Commerce Website (Full)\frontend\src\components\AdminLayout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 22, 182
"c:\E-Commerce Website (Full)\frontend\src\components\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 8, 9, 89
"c:\E-Commerce Website (Full)\frontend\src\components\Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 7, 17, 137
"c:\E-Commerce Website (Full)\frontend\src\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"c:\E-Commerce Website (Full)\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 5, 12, 126
"c:\E-Commerce Website (Full)\frontend\src\components\Layout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 331, 0, 0, 51, 382
"c:\E-Commerce Website (Full)\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 15, 23, 168
"c:\E-Commerce Website (Full)\frontend\src\components\LoadingWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 5, 53
"c:\E-Commerce Website (Full)\frontend\src\components\OmnoraCarousel.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 24, 202
"c:\E-Commerce Website (Full)\frontend\src\components\OmnoraLayout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 560, 0, 0, 90, 650
"c:\E-Commerce Website (Full)\frontend\src\components\OmnoraPosterGallery.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 30, 235
"c:\E-Commerce Website (Full)\frontend\src\components\Payment.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 21, 140
"c:\E-Commerce Website (Full)\frontend\src\components\PosterGallery.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 6, 10, 88
"c:\E-Commerce Website (Full)\frontend\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"c:\E-Commerce Website (Full)\frontend\src\components\RequireAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 6, 23
"c:\E-Commerce Website (Full)\frontend\src\components\Skeleton.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 20, 123
"c:\E-Commerce Website (Full)\frontend\src\components\Skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 11, 11, 59
"c:\E-Commerce Website (Full)\frontend\src\components\SkeletonProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 7, 63
"c:\E-Commerce Website (Full)\frontend\src\components\SmartImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 21, 14, 139
"c:\E-Commerce Website (Full)\frontend\src\components\StripePayment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 2, 13, 97
"c:\E-Commerce Website (Full)\frontend\src\components\WhatsAppConfirmationDialog.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 20, 143
"c:\E-Commerce Website (Full)\frontend\src\components\WhatsAppConfirmationDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"c:\E-Commerce Website (Full)\frontend\src\components\home\HowItWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 2, 33
"c:\E-Commerce Website (Full)\frontend\src\components\home\Newsletter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 6, 55
"c:\E-Commerce Website (Full)\frontend\src\components\home\TechStack.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 43, 323
"c:\E-Commerce Website (Full)\frontend\src\components\home\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 3, 4, 50
"c:\E-Commerce Website (Full)\frontend\src\components\home\TrustSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\E-Commerce Website (Full)\frontend\src\components\home\WhyUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\E-Commerce Website (Full)\frontend\src\components\home\tech.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 5, 18, 177
