"filename", "language", "JSON", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full)\backend\verify-mongodb.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 3, 23, 122
"c:\E-Commerce Website (Full)\backend\verify-order-fix.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 1, 9, 52
"c:\E-Commerce Website (Full)\backend\verify-serverless.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 10, 19, 98
"c:\E-Commerce Website (Full)\backend\workers\notificationWorker.js", "JavaScript", 0, -8, 0, 0, 0, 0, 0, -6, -1, -15
"c:\E-Commerce Website (Full)\frontend\package.json", "JSON", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\E-Commerce Website (Full)\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 3, 0, 23
"c:\E-Commerce Website (Full)\frontend\src\api\client.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\E-Commerce Website (Full)\frontend\src\components\AdminLayout.css", "CSS", 0, 0, 0, 0, 0, 160, 0, 0, 22, 182
"c:\E-Commerce Website (Full)\frontend\src\components\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 8, 9, 89
"c:\E-Commerce Website (Full)\frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 109, 5, 12, 126
"c:\E-Commerce Website (Full)\frontend\src\components\Layout.css", "CSS", 0, 0, 0, 0, 0, 331, 0, 0, 51, 382
"c:\E-Commerce Website (Full)\frontend\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -37, -4, -5, -46
"c:\E-Commerce Website (Full)\frontend\src\components\OmnoraLayout.css", "CSS", 0, 0, 0, 0, 0, 229, 0, 0, 39, 268
"c:\E-Commerce Website (Full)\frontend\src\components\OmnoraPosterGallery.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\E-Commerce Website (Full)\frontend\src\components\RequireAdmin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 1, 6, 23
"c:\E-Commerce Website (Full)\frontend\src\components\WhatsAppConfirmationDialog.css", "CSS", 0, 0, 0, 0, 0, 123, 0, 0, 20, 143
"c:\E-Commerce Website (Full)\frontend\src\components\WhatsAppConfirmationDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 8, 58
"c:\E-Commerce Website (Full)\frontend\src\components\home\TechStack.css", "CSS", 0, 0, 0, 0, 0, 280, 0, 0, 43, 323
"c:\E-Commerce Website (Full)\frontend\src\components\home\TrustSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -12, 0, 0, -12
"c:\E-Commerce Website (Full)\frontend\src\components\home\tech.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 5, 18, 177
"c:\E-Commerce Website (Full)\frontend\src\config\adConfig.json", "JSON", -6, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\E-Commerce Website (Full)\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -27, -9, -1, -37
"c:\E-Commerce Website (Full)\frontend\src\context\ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -28, -6, -1, -35
"c:\E-Commerce Website (Full)\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 103, 0, 0, 12, 115
"c:\E-Commerce Website (Full)\frontend\src\pages\About.css", "CSS", 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"c:\E-Commerce Website (Full)\frontend\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -95, -2, -2, -99
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminDashboard.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 10, 58
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -5, 5, 0, 0
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminOrders.css", "CSS", 0, 0, 0, 0, 0, 155, 0, 0, 34, 189
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminOrders.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 2, 13, 151
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminProducts.css", "CSS", 0, 0, 0, 0, 0, 231, 0, 0, 34, 265
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 208, 0, 19, 227
"c:\E-Commerce Website (Full)\frontend\src\pages\AdminUsers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 1, 3, 14
"c:\E-Commerce Website (Full)\frontend\src\pages\Checkout.css", "CSS", 0, 0, 0, 0, 0, 106, 0, 0, 16, 122
"c:\E-Commerce Website (Full)\frontend\src\pages\Checkout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -97, 2, -2, -97
